,Signal Int (out),Signal Int (input),Fat Fraction,Percentage,Type
Segment_1out,114.041,212.469,0.231629085,23.16290847,Grasa
Segment_2out,120.708,212.65,0.216181519,21.61815189,Grasa
Segment_3out,105.027,165.033,0.181800004,18.18000036,Grasa
Segment_4out,110.681,204.254,0.229060386,22.90603856,Grasa
Segment_5out,113.857,224.694,0.246639875,24.66398747,Grasa
Segment_6out,115.052,177.073,0.175128337,17.51283369,Grasa
Segment_7out,150.937,218.238,0.154191754,15.4191754,Grasa
Segment_8out,157.285,211.818,0.128726076,12.87260762,Grasa
Segment_1out,124.769,232.105,0.231222938,23.12229379,Grasa
Segment_2out,146.036,239.839,0.195554101,19.55541009,Grasa
Segment_3out,107.684,176.623,0.195158615,19.51586147,Grasa
Segment_4out,110.044,186.948,0.205682864,20.56828637,Grasa
Segment_5out,124.838,225.514,0.223214523,22.32145233,Grasa
Segment_6out,138.802,181.437,0.117492573,11.74925732,Grasa
Segment_7out,206.738,225.944,0.042501682,4.250168183,Normal
Segment_8out,118.044,230.645,0.244100241,24.41002406,Grasa
Segment_1out,263.775,187.142,0.204745594,20.47455943,Grasa
Segment_2out,182.564,264.665,0.155103622,15.51036216,Grasa
Segment_3out,212.977,216.107,0.007241783,0.724178301,Normal
Segment_4out,166.675,167.913,0.003686433,0.368643286,Normal
Segment_5out,185.106,184.906,0.000540815,0.054081533,Normal
Segment_6out,163.165,164.008,0.002569997,0.256999659,Normal
Segment_7out,207.278,200.479,0.016956888,1.695688825,Normal
Segment_8out,209.923,218.956,0.020627432,2.0627432,Normal
Segment_1out,71.5891,75.7049,0.027183181,2.718318101,Normal
Segment_2out,200.336,192.127,0.021363473,2.136347312,Normal
Segment_3out,197.591,199.311,0.004314865,0.431486471,Normal
Segment_4out,178.224,181.29,0.008456065,0.845606487,Normal
Segment_5out,68.9939,117.012,0.205184511,20.5184511,Grasa
Segment_6out,269.16,316.785,0.075169279,7.516927885,Grasa
Segment_7out,93.3135,100.958,0.037859803,3.785980309,Normal
Segment_8out,143.136,144.342,0.004177578,0.417757825,Normal
Segment_1out,308.242,288.614,0.034003894,3.400389447,Normal
Segment_2out,287.888,212.175,0.178421115,17.84211146,Grasa
Segment_3out,207.442,312.04,0.167603512,16.76035124,Grasa
Segment_4out,307.216,289.67,0.030286188,3.028618773,Normal
Segment_5out,288.871,205.488,0.202890193,20.28901931,Grasa
Segment_6out,204.078,309.05,0.169830125,16.98301246,Grasa
Segment_7out,306.791,234.855,0.153149816,15.31498158,Grasa
Segment_8out,239.748,305.504,0.107618886,10.76188855,Grasa
Segment_1out,223.765,254.313,0.060059848,6.005984751,Grasa
Segment_2out,212.57,248.642,0.072538027,7.253802656,Grasa
Segment_3out,183.819,205.175,0.052043378,5.20433776,Grasa
Segment_4out,234.908,272.987,0.069745079,6.974507944,Grasa
Segment_5out,231.315,272.331,0.075305419,7.530541877,Grasa
Segment_6out,231.518,259.179,0.053362734,5.336273386,Grasa
Segment_7out,276.987,311.672,0.055643433,5.564343284,Grasa
Segment_8out,178.224,199.682,0.053730431,5.373043139,Grasa
Segment_1out,204.184,210.087,0.014048942,1.404894163,Normal
Segment_2out,250.618,260.599,0.019150112,1.915011186,Normal
Segment_3out,240.2,243.689,0.007158715,0.715871459,Normal
Segment_4out,281.025,289.432,0.014523273,1.452327317,Normal
Segment_5out,263.779,272.014,0.015137089,1.513708853,Normal
Segment_6out,360.554,370.787,0.013799027,1.379902747,Normal
Segment_7out,239.079,249.381,0.020655142,2.065514213,Normal
Segment_8out,254.739,267.063,0.023073207,2.307320745,Normal
Segment_1out,96.1241,100.839,0.023378356,2.33783556,Normal
Segment_2out,85.8175,86.6496,0.004801522,0.480152245,Normal
Segment_3out,82.8431,83.2591,0.002498225,0.249822542,Normal
Segment_4out,117.117,120.763,0.015095683,1.509568328,Normal
Segment_5out,185.164,184.547,0.001671661,0.167166088,Normal
Segment_6out,146.934,147.65,0.002424653,0.24246529,Normal
Segment_7out,86.12,66.6109,0.146440748,14.64407477,Grasa
Segment_8out,58.1449,57.6304,0.00446379,0.446378994,Normal
Segment_1out,139.011,158.23,0.060731214,6.073121406,Grasa
Segment_2out,103.498,118.288,0.062516908,6.251690789,Grasa
Segment_3out,110.207,126.51,0.064433642,6.443364161,Grasa
Segment_4out,104.659,119.204,0.061008859,6.100885876,Grasa
Segment_5out,240.332,255.225,0.029176217,2.917621706,Normal
Segment_6out,147.658,167.414,0.059003429,5.900342863,Grasa
Segment_7out,129.634,149.337,0.065968246,6.596824632,Grasa
Segment_8out,23.0073,19.4585,0.091188941,9.118894057,Grasa
Segment_1out,110.657,112.524,0.008296008,0.829600796,Normal
Segment_2out,145.363,144.429,0.003233423,0.323342265,Normal
Segment_3out,131.456,137.114,0.020632466,2.063246641,Normal
